"","Block","RandOrder","Word","TargetValence","PrimeValence","Answer","RandTransp","RT","Correct","Id","Congruence","OMSI","AGE","GENDER","MusExpertise"
"79","MAJ_DIM",26,"hijack","NegWord","NegChord",1,2,349,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Congruent",2,22,1,"Non-musician"
"80","MAJ_DIM",24,"relax","PosWord","NegChord",2,3,468,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Incongruent",2,22,1,"Non-musician"
"81","MAJ_DIM",23,"comfy","PosWord","NegChord",2,3,360,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Incongruent",2,22,1,"Non-musician"
"82","MAJ_DIM",20,"cuddle","PosWord","NegChord",2,8,446,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Incongruent",2,22,1,"Non-musician"
"83","MAJ_DIM",30,"fatal","NegWord","NegChord",1,11,388,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Congruent",2,22,1,"Non-musician"
"84","MAJ_DIM",10,"hijack","NegWord","PosChord",1,2,444,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Incongruent",2,22,1,"Non-musician"
"85","MAJ_DIM",18,"lively","PosWord","NegChord",2,7,422,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Incongruent",2,22,1,"Non-musician"
"86","MAJ_DIM",29,"arrest","NegWord","NegChord",1,7,429,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Congruent",2,22,1,"Non-musician"
"87","MAJ_DIM",17,"sweet","PosWord","NegChord",2,3,547,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Incongruent",2,22,1,"Non-musician"
"88","MAJ_DIM",12,"vomit","NegWord","PosChord",1,9,536,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Incongruent",2,22,1,"Non-musician"
"89","MAJ_DIM",16,"morgue","NegWord","PosChord",1,3,494,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Incongruent",2,22,1,"Non-musician"
"90","MAJ_DIM",21,"excite","PosWord","NegChord",2,2,489,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Incongruent",2,22,1,"Non-musician"
"91","MAJ_DIM",12,"vomit","NegWord","PosChord",1,6,440,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Incongruent",2,22,1,"Non-musician"
"92","MAJ_DIM",28,"vomit","NegWord","NegChord",1,9,423,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Congruent",2,22,1,"Non-musician"
"93","MAJ_DIM",29,"arrest","NegWord","NegChord",1,3,509,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Congruent",2,22,1,"Non-musician"
"94","MAJ_DIM",27,"death","NegWord","NegChord",1,7,506,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Congruent",2,22,1,"Non-musician"
"95","MAJ_DIM",18,"lively","PosWord","NegChord",2,3,611,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Incongruent",2,22,1,"Non-musician"
"96","MAJ_DIM",4,"cuddle","PosWord","PosChord",2,9,633,1,"concept_priming2.2023-05-11-1637.data.27169569-0a79-4a63-a4b5-097331d022b6.txt","Congruent",2,22,1,"Non-musician"
